Total registros en cca_predio: 9000
Registros con id_operacion duplicado: 1629

Lista de id_operacion duplicados con su cantidad:
id_operacion: 254360000000000040292000000000 - Cantidad: 5
id_operacion: 254360000000000040291000000000 - Cantidad: 5
id_operacion: 254360000000000040290000000000 - Cantidad: 5
id_operacion: 254360000000000040289000000000 - Cantidad: 5
id_operacion: 254360000000000040288000000000 - Cantidad: 5
id_operacion: 254360000000000040287000000000 - Cantidad: 5
id_operacion: 254360000000000040286000000000 - Cantidad: 5
id_operacion: 254360000000000040285000000000 - Cantidad: 5
id_operacion: 254360000000000040284000000000 - Cantidad: 5
id_operacion: 254360000000000040283000000000 - Cantidad: 5
id_operacion: 254360000000000040282000000000 - Cantidad: 5
id_operacion: 254360000000000040281000000000 - Cantidad: 5
id_operacion: 254360000000000040280000000000 - Cantidad: 5
id_operacion: 254360000000000040279000000000 - Cantidad: 5
id_operacion: 254360000000000040278000000000 - Cantidad: 5
id_operacion: 254360000000000040277000000000 - Cantidad: 5
id_operacion: 254360000000000040276000000000 - Cantidad: 5
id_operacion: 254360000000000040275000000000 - Cantidad: 5
id_operacion: 254360000000000040273000000000 - Cantidad: 5
id_operacion: 254360000000000040272000000000 - Cantidad: 5
id_operacion: 254360000000000040271000000000 - Cantidad: 5
id_operacion: 254360000000000040270000000000 - Cantidad: 5
id_operacion: 254360000000000040269000000000 - Cantidad: 5
id_operacion: 254360000000000040268000000000 - Cantidad: 5
id_operacion: 254360000000000040267000000000 - Cantidad: 5
id_operacion: 254360000000000040266000000000 - Cantidad: 5
id_operacion: 254360000000000040265000000000 - Cantidad: 5
id_operacion: 254360000000000040264000000000 - Cantidad: 5
id_operacion: 254360000000000040261000000000 - Cantidad: 5
id_operacion: 254360000000000040260000000000 - Cantidad: 5
id_operacion: 254360000000000040259000000000 - Cantidad: 5
id_operacion: 254360000000000040258000000000 - Cantidad: 5
id_operacion: 254360000000000040257000000000 - Cantidad: 5
id_operacion: 254360000000000040256000000000 - Cantidad: 5
id_operacion: 254360000000000040255000000000 - Cantidad: 5
id_operacion: 254360000000000040254000000000 - Cantidad: 5
